"{""specification_name"":""AI Controls Matrix"",""specification_version"":""1.0.3""}",AI CONTROLS MATRIX v1.0.3,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Application & Interface Security,Application Security Baseline Requirements,AIS-02,"Establish, document and maintain baseline requirements for securing applications.""","DEV-01
DEV-03
OPS-04
OPS-06
OPS-10
OPS-11
OPS-18
OPS-23
PS-01",No Gap,,"Article 11
Article 15 (1)
Article 53 and Annex XI
Article 55",No Gap,,"42001: 6.1.2
42001: B.6.2.2
42001: B.7.2
27001:6.1.2
27001:6.1.3
27001: A.8.26",Partial Gap,"Explicitly require the definition, 
documentation, and periodic 
maintenance of baseline application 
security requirements.","GV-6.1-004
GV-6.1-005",Partial Gap,"Define application-specific security baseline frameworks, including authentication, encryption, and access control requirements.
Establish a baseline validation and compliance tracking mechanism. Enhance policy enforcement mechanisms to explicitly define application security requirements for AI-related technologies."
Application & Interface Security,Application Security Metrics,AIS-03,"Define and implement technical and operational metrics in alignment
with business objectives, security requirements, and compliance obligations.",COM-04,Partial Gap,"C5 looks at information security only, no business 
objectives and compliance obligations.","Article 15 (2)
Article 15 (3)
Article 53 and Annex XI
Article 55
Article 74
Article 75",No Gap,,"42001: 9.1
42001: B.6.2.6
27001: 9.1
27701: 5.7.1",No Gap,,"MS-2.7-002
MS-2.7-004
MEASURE 3.2
MEASURE 3.3
MEASURE 4.2
MG-3.1-002
MS-2.11-002
MS-2.7-002
MS-2.7-004
MG-3.1-002
MS-2.11-002",Partial Gap,"Missing elements include explicit security baseline metrics for applications.
Define baseline security metrics for application security. Define operational security KPIs that align with compliance and industry best practices. Enhance risk tracking for application security to ensure structured data collection, processing, and evaluation."
Application & Interface Security,Secure Application Development Lifecycle,AIS-04,"Define and implement a secure software development lifecycle (SDLC) process for application requirements analysis, planning, design, development,
testing, deployment, and operation in accordance with security requirements defined by
the organization.",DEV-01,No Gap,,"Article 9 (6)
Article 9 (7)
Article 9 (8)
Article 17 (1)
Annex XI (Section 1) (2)
Annex XI (Section 2)",No Gap,,"42001: B.6.1.3
42001: B.6.2.3
42001: A.6.2.4
42001: A.6.2.5
42001: A.6.2.6
27001: A.8.25
27001: A.8.27
27001: A.8.28
27001: A.8.29
27001: A.8.30",Partial Gap,"Mandate a documented SDLC 
process.
Need secure coding and security 
testing requirements as part of that 
process.
Need an explicit linkage to organizational 
security and risk objectives.","GOVERN 4.1
GOVERN 4.2
MANAGE 3.2
MEASURE 2.8
MEASURE 2.9",Partial Gap,"Define secure SDLC requirements for AI-based applications, which cover security by design principles, code security reviews, and vulnerability testing before deployment.
Automated security testing integration in CI/CD pipelines and compliance mapping for application security, as well."
Application & Interface Security,Application Security Testing,AIS-05,"Implement a testing strategy, including criteria for acceptance of new 
information systems, upgrades and new versions, which provides 
application security assurance and maintains compliance while meeting 
organizational delivery goals. 
Automate when applicable and possible.","DEV-01
DEV-03
DEV-06
PSS-02
PSS-05
PSS-09
PSS-10",No Gap,,"Article 17 (d)
Article 17 (h)
Article 53
Article 54
Article 55
Article 60
Annex XI (Section 1) (2)
Annex XI (Section 2)",No Gap,,"42001: B.6.2.4
27001: A.8.29
27001: A.8.26
27001: A.8.33
27001: A.5.10
27002: A.8.29 & A.8.33",Partial Gap,"Add dedicated control that mandates:

Security-focused AI application testing, Use 
of automated tools, Definition of acceptance 
criteria, Specific coverage of AI/ML-specific risk 
vectors, Alignment with organizational 
deployment goals.","MEASURE 2.3
MEASURE 2.5
MEASURE 2.6",No Gap,
Application & Interface Security,Secure Application Deployment,AIS-06,"Establish and implement strategies and capabilities for secure, standardized,
and compliant application deployment. Automate where possible.","DEV-01
DEV-03
DEV-08
DEV-09
PSS-02
PSS-05
PSS-09
PSS-10",No Gap,,"Article 9 (6)
Article 9 (7)
Article 9 (8)
Article 26
Article 50
Article 53 and Annex XI
Article 55",No Gap,,"42001: 8.2
42001: 8.3
42001: 8.4
42001: B.6.2.5
42001: B.6.2.6
27001: A.8.9
27001: A.5.31
27001: A.5.32
27001: A.8.32",Partial Gap,"Explicitly incorporate standardized 
deployment process elements, separation 
of environments, record‑keeping for 
compliance, and encouragement of 
automation.","MEASURE 2.9
MEASURE 2.10",No Gap,
Application & Interface Security,Application Vulnerability Remediation,AIS-07,"Define and implement a process to remediate application security
vulnerabilities, automating remediation when possible.",PSS-02,No Gap,,"Article 15 (4)
Article 15 (5)
Article 53
Article 55 (1)",No Gap,,"42001: B.6.2.4
42001: A.6.2.6
42001: A.8.4
27001: A.8.8",Partial Gap,"A dedicated AI-app vulnerability management 
control.","MG-2.4-003
MS-2.7-001",No Gap,
Application & Interface Security,Input Validation,AIS-08,"Validate, filter, modify or block, as necessary, input against adversarial patterns, failure patterns and unwanted behaviour according to organisational policies and applicable laws and regulations.","DQ-01
DQ-03
DQ-06",No Gap,,"Recital 76
Recital 77
Article 9 (2)
Article 10 (2) (b)
Article 10 (2) (f)
Article 10 (2) (g)
Article 10 (3)
Article 15",Partial Gap,"Input validation pipelines: schema checks, whitelisting, input filtering

Adversarial pattern detection: anomaly detection, adversarial example mitigation

Live input blocking: reject-on-failure logic, policy-based access control

Monitoring for prompt injection / model exploitation attempts

Post-deployment input auditing and update procedures

The technical solutions for AI should include measures to prevent, detect, and respond to threats such as data poisoning, model poisoning, adversarial inputs, confidentiality attacks, and other model flaws.
","42001:  A.6.2.4 / B.6.2.4 – AI system verification and validation
42001: A.7.4 / B.7.4 – Quality of data for AI systems
42001: A7.6 – Data preparation
42001: B6.2.3 Technical measures for AI reliability and resilience
42001: A8.26 – Application security requirements",Partial Gap,"In clause B.6.2 (technical robustness & security) add: Explicit control requirement for input validation, Adversarial input detection and mitigation.
In clause clause 9.1, 10.2: specify testing and monitoring of input validation effectiveness.
In clause A.2.2/A.2.3 (policy alignment): include alignment of validation rules with policies and laws.","MP-2.3-002
MS-1.1-007
MS-2.6-006
MS-1.1-002",Partial Gap,"NIST AI 600-1 is missing specific requirements to validate user input against adversarial patterns, failure patterns, and unwanted behavior and outliers."
Application & Interface Security,Output Validation,AIS-09,"Validate, filter, modify or block, as necessary, output against adversarial patterns, failure patterns and unwanted behaviour according to organisational policies and applicable laws and regulations.","SR-05
SR-06
RE-04",No Gap,,"Article 15 (4)
Article 15 (5)
Article 53
Article 55 (1)",No Gap,,"42001: A.6.2.4 / B.6.2.4 - AI system verification and validation
42001: A.6.2.6 – AI system operation and monitoring
42001: B.6.2.6 – Monitoring and evaluation
42001: B.6.2.1 – Technical robustness & security
42001: A.7.4 / B.7.4 - Quality of data for AI systems
27001: A.8.11 Data masking
27001: A.8.26 – Application security requirements
27001: A.8.29 – Security testing",No Gap,,"MP-2.3-001
MP-2.3-003
MP-2.3-005
MS-2.6-004
MS-2.6-005
MS-2.6-006
MS-4.2-001
MG-2.2-001
MG-2.2-005
MG-4.1-004",No Gap,
Application & Interface Security,API Security,AIS-10,"Define and implement processes, procedures, and technical measures to secure APIs. Review and update for any improvements at least annually  or after significant system changes.",Not Applicable,Full Gap,"No concrete implementation guidelines 
to specific API methods.","Article 15 (5)
Article 53 and Annex XI
Article 55",No Gap,,"42001: 6.1 - Actions to address risks and opportunities
27001: 6.1 - Actions to address risks and opportunities
27001: A.5.15 - Access control
27001: A.5.20 - Addressing information security within supplier agreements
27001: A.5.21 Managing information security in the information and communication technology (ICT) supply
chain
27001: A.8.21 - Security of network services
27001: A.8.24 - Use of cryptography
27001: A.8.26 - Application security requirements",Partial Gap,"Add a dedicated API security control, ideally linked to AI-specific risks and integration points.","GV-6.1-009
MS-2.6-006
MS-2.7-007
MS-2.10-001
MS-2.7-009",Partial Gap,NIST AI 600-1 is missing specific security requirements for APIs and a requirement to perform the reviews annually.
Application & Interface Security,Agents Security Boundaries,AIS-11,Establish security boundaries for agents.,"C4 PF-4
C5 PSS-08",Partial Gap,There could be some explicit definition of agents in the intro text of document to categorize them as roles within the ruleset.,No Mapping,Full Gap,"Include security boundaries for agents, for both AI System and AI Model, in Article 3.","42001: A.6.1.3 Processes for responsible AI system design and development
42001: A.6.2.2 AI system requirements and specification
42001: A.6.2.3 Documentation of AI system design and development
42001: A.6.2.5 AI system deployment
42001: A.6.2.7 AI system technical documentation
27001: 8.26 Application security requirements
27001: 8.27 Secure system architecture and engineering principles
27001: A.5.18 Access rights",Partial Gap,"New or revised controls would need to:

Define what constitutes an “agent” in AI 
systems
Require clear separation and monitoring 
between agents
Enforce isolation, access control, and 
communication boundaries",MS-2.7-001,No Gap,
Application & Interface Security,Source Code Managemement,AIS-12,"Implement source code management practices, such as version control, code review & static code analysis, aligning with the SDLC process.","C4 DM-01
SR-01
C5 DEV-01
DEV-03",No Gap,,"Article 17 (1) (c)
Article 17 (1) (d)
Annex IV 1 (a)
Annex IV 1 (c)",Partial Gap,"EU AI Act does not speak to ""version control, code review, and static code analysis.""","42001: A.4.4 - Tooling resources
42001: A 6.2.3 - AI system design
42001: A 6.2.4 - AI system verification and validation
27001: A.5.18 - Access rights
27001: A.8.4 - Access to source code
27001: A.8.25 - Secure development life cycle
27001: A.8.28 - Secure coding",Partial Gap,"If not relying on ISO/IEC 27001, add 
specific software development and code 
security controls to fully satisfy AIS‑12.",No Mapping,Full Gap,"NIST AI 600-1 is missing a specific requirement for version control, code review, and static code analysis."
Application & Interface Security,AI Sandboxing,AIS-13,"Implement sandboxing techniques to execute AI tools and 
plugins in isolated environments to prevent unintended 
interactions with critical systems or data and limit the 
possibility of lateral movement.",SR-06,Partial Gap,,No Mapping,Full Gap,"The EU AI Act does not provide requirements related to AIS-13: Implement sandboxing techniques to execute AI tools and plugins.
","42001: 5.2 - AI policy
42001: A 6.2.2
42001: A.6.2.3
42001: B.6.2.5 - AI system deployment
42001: B.6.2.6 - AI system operation and monitoring
27001: A.8.9 - Configuration management
27001: A.5.15 - Access control
27001: A.8.8 - Management of technical vulnerabilities
27001: A.8.15 - Logging
27001: A.8.16 - Monitoring activities
27001: A.8.31 - Separation of development
test and production environments",Partial Gap,"Although there are controls from ISO 42001 that support the capabilities and functions of creating and maintaining the AIS-13 topic of having a ""sandboxed"" environment to deploy AI tools, this is not specifically called out. Also, ISO 27001 does have a control for separate testing and production environments that can support.",No Mapping,Full Gap,NIST AI 600-1 is missing a specific requirement to perform sandboxing for agentic tools and plugins.
Application & Interface Security,AI Cache Protection,AIS-14,"Implement security measures to protect caches in GenAI systems and 
services.","C4 DM-02
C5 COS-01",No Gap,,No Mapping,Full Gap,"Requirements for protecting runtime memory and caching mechanisms used in GenAI systems. This includes safeguarding prompts, tokens, inference outputs, and contextual memory from unauthorized access or leakage. Such provisions should apply regardless of risk classification, be based on a data sensitivity assessment, and be integrated into both documentation and lifecycle management.","42001: 5.2 - AI policy
42001: B.2.2 - AI policy
42001: B.2.3 - Alignment with other organizational policies
42001: A.6.2 - AI System life cycle
27001: A.8.10 Information deletion
27001: A.8.12 Data leakage prevention
27001: A.8.24 Use of cryptography
27001: A.8.26 Application security requirements
27001: A.8.27 - Secure system architecture and engineering principles",Partial Gap,Introduce explicit technical protections for inference-time memory and cache data.,MS-2.7-001,No Gap,
Application & Interface Security,Prompt Differentation,AIS-15,"Implement mechanisms enabling the model to clearly distinguish user-provided input instructions from data and system instructions (e.g., system prompts).",C4 SR-06,Partial Gap,No C4 control speaks specifically to the AIS-15 topic of distinguishing between user and system prompts.,No Mapping,Full Gap,"The EU AI Act does not provide requirements for AIS-15: Implement mechanisms to clearly distinguish user-provided input instructions from data and system instructions (prompt differentiation).
","ISO 42001: A.6.2.3 - Documentation of AI system design
and development
ISO 27001: A.8.27 - Secure system architecture and engineering principles",Partial Gap,"A control requiring clear distinction and protection mechanisms between system-level prompts, user inputs, and AI configuration
Prompt injection testing, monitoring, and failure recovery mechanisms
Design-time separation of concerns enforced through interfaces, APIs, or instruction schema.",GV-4.1-001,Partial Gap,"Include use or mention of ""prompt differentiation."""
Business Continuity Management and Operational Resilience - BCR,,,,,,,,,,,,,,,
Business Continuity Management and Operational Resilience,Business Continuity Management Policy and Procedures,BCR-01,"Establish, document, approve, communicate, apply, evaluate and maintain
business continuity management and operational resilience policies and procedures.
Review and update the policies and procedures at least annually, or when significant changes occur that could impact risk exposure.","C4 PC-01
C5 BCM-02",No Gap,,"Article 15 (4),
Article 17,
Annex VII,
Recital 51,
Recital 15",Partial Gap,"Explicitly mandate BCM policies and procedures,
Require annual or event-driven reviews,
Include testing and validation of continuity plans,
Align continuity expectations with risk levels of AI systems,
Ensure cross-actor responsibility in distributed AI deployments.
","42001: A.2.2
42001: A.2.3
42001: A.2.4
27001: A.5.30",No Gap,,No Mapping,Full Gap,"The whole BCR-01 control. Establish and maintain formal business continuity and operational resilience policies and procedures, with mandatory annual reviews or updates triggered by significant changes to clearly cover the desired control."
Business Continuity Management and Operational Resilience,Risk Assessment and Impact Analysis,BCR-02,"Determine the impact of business disruptions and risks to establish
criteria for developing business continuity and operational resilience 
strategies and capabilities.
Review and update the risk assessment and impact analysis at least 
annually or upon significant changes.","C4 PC-01
SR-02
SR-03
C5 BCM-02",No Gap,,Article 9,Partial Gap,Determine the impact of business disruptions and risks to establish criteria for developing business continuity and operational resilience strategies and capabilities.,"42001: All A.10 (to ensure feedback of stakeholders on risks)
42001: A.2.2 AI policy
42001: A.2.3 Alignment with other organizational policies
42001: A.2.4 Review of the AI policy
42001: 5.1 Leadership and commitment
42001: 7.1 Resources
42001: 8.2 AI risk assessment",Partial Gap,"The organization should conduct an impact 
analysis of business disruptions related to 
AI systems, including failures in model 
outputs, pipeline availability, or supporting 
services. Based on this analysis, the 
organization should define criteria for 
business continuity strategies, fallback 
capabilities, and operational resilience 
planning. This analysis should be reviewed 
at least annually or upon significant 
changes in the AI environment.","GV-4.2-003
MS-2.6-005",Partial Gap,"Although there is coverage for third-party system impacts to be documented and verify that GAI system architecture can recover from negative impacts (which could be disasters), NIST AI 600-1 does not specifically speak to establishing business continuity and disaster recovery strategies, nor does it speak to creating risk and impact documentation or the annual review and update of this documentation."
Business Continuity Management and Operational Resilience,Business Continuity Strategy,BCR-03,"Establish strategies to reduce the impact of business disruptions, and improve resiliency and recovery from business disruptions.","C4 PC-01
C5 BCM-02
BCM-03",No Gap,,"Article 9 (2) (d)
Article 9 (5)",Partial Gap,Continuity strategy.,"42001: A.4.2 Documented Information Resources
42001 A.4.5 System and computing resources
27001: A.5.30 - ICT readiness for business continuity
27001: A.7.5 - Protecting against physical and environmental threats",Partial Gap,"Include  control that directly establishes business continuity strategies for AI systems or services:

Include clause requiring fallback models, AI failover planning, or recovery testing.
Include mention of AI-specific disruptions (e.g., failure of models, pipelines, APIs) impacting business continuity.",No Mapping,Full Gap,NIST AI 600-1 doesn't fully cover the BCR-03 topic of business disruption activities for facilities and people that support the GAI systems.
Business Continuity Management and Operational Resilience,Business Continuity Planning,BCR-04,"Establish, document, approve, communicate, apply, evaluate and 
maintain a business continuity plan based on the results of the 
operational resilience strategies and capabilities.",BCM-03,No Gap,,"Article 9 (risk management),
Article 15 (technical robustness),
Article 17 (quality system),
Article 16 (organizational responsibility),
Article 93 (post-market monitoring)",Partial Gap,"Explicit requirements for business continuity 
planning, testing, or recovery capabilities
","42001: A.4 Resources for AI systems
27001: A.5.30 ICT readiness for business continuity",No Gap,,MG-2.3-001,Partial Gap,Clarify in the framework that incident response and recovery plans shall be integrated into a comprehensive business continuity plan that is updated at least annually or upon significant change.
Business Continuity Management and Operational Resilience,Documentation,BCR-05,"Develop, identify, and acquire documentation,  both internally and from external parties,  that is relevant to support the business continuity and operational resilience programs. Make the documentation available to authorized stakeholders and review at least annually or upon significant changes.",BCM-03,No Gap,,"Article 15 (4)
Article 9 (6)
Article 17
Annex IV",Partial Gap,"Business continuity documentation, external document integration, internal stakeholder access provisions, scheduled review processes.","ISO 42001: A.4.2 (Resource documentation)
ISO 42001: A.4.3 (Data resources)
ISO 42001: A.4.4 (Tooling resources)",No Gap,,"MP-2.3-002
GV-4.2-003",Partial Gap,Revise documentation requirements to explicitly include all artifacts related to business continuity and operational resilience—including plans and procedures with periodic review cycles.
Business Continuity Management and Operational Resilience,Business Continuity Exercises,BCR-06,Follow a structured approach to evaluate the effectiveness of the business continuity and operational resilience plans at planned intervals or upon significant changes.,BCM-04,No Gap,,"Article 16
Article 17(1) (d)",Partial Gap,"Develop business continuity and operational resilience plans, conduct regular and event-driven exercises, include these in the QMS and technical documentation, and track lessons learned and updates.",ISO 27001 A.5.30 (ICT readiness for business continuity),Partial Gap,"There is no control in ISO 42001 that covers the AICM BCR-06 topic of exercising a BCP. However, there is coverage with 27001 A.5.30 ICT readiness for business continuity, where a BCP is required to be tested based on organization's risk appetite.","MS-2.7-007
MP-5.1-005
GV-6.2-003",Partial Gap,Include an action that explicitly mandates that business continuity and disaster recovery plans be exercised at least annually (or upon significant changes) and that the results be used for continual improvement.
Business Continuity Management and Operational Resilience,Communication,BCR-07,"Establish and maintain communication channels with all relevant 
stakeholders in the course of business continuity and resilience 
procedures.","C4 PC-01
BCM-01
BCM-03",No Gap,,"Article 17 (i) (procedures for reporting serious incidents)
Article 55 (c) (reporting serious incidents)
Article 73 (reporting serious incidents)",Partial Gap,Establish communication with stakeholders and participants in the course of business continuity and resilience procedures.,"All 42001: A.8.5
All 42001: A.10",No Gap,,"GV-2.1-001
GV-6.2-003",Partial Gap,"Extend the communication requirements to explicitly cover the communication of business continuity events and procedures—including specifying roles, points‐of‐contact, and escalation channels—beyond standard GAI incident scenarios."
Business Continuity Management and Operational Resilience,Backup,BCR-08,"Periodically perform backups. Ensure the confidentiality, integrity 
and availability of the backup, and verify restoration from backup
for resiliency.","C4 RE-06
C5 OPS-06
OPS-07
OPS-08",No Gap,,"Article 15 (1)
Article 9 (2)
Article 9 (6)
Article 17
Annex IV
Recital 51",Partial Gap,"Periodically backup data stored in the cloud. Ensure the confidentiality, integrity, and availability of the backup, and verify data restoration from backup for resiliency.","42001: A.4.3 (Data resources)
27001: A.8.13 (Information backup)",No Gap,,"GV-1.5-003
GV-6.2-006",Partial Gap,"Add a new suggested action so that explicit backup requirements are addressed. For example, the action could be to implement and verify a process for the periodic backup of cloud stored data—including restoring tests—to ensure data confidentiality, integrity, and availability."
Business Continuity Management and Operational Resilience,Disaster Response Plan,BCR-09,"Establish, document, approve, communicate, apply, evaluate and maintain
a disaster response plan to recover from natural and man-made disasters. Update
the plan at least annually or upon significant changes.",BCM-03,No Gap,,"Article 15 (4) (accuracy, robustness, and cybersecurity)",Partial Gap,"Establish, document, approve, communicate, apply, evaluate, and maintain a disaster response plan to recover from natural and man-made disasters. Update the plan at least annually or upon significant changes.","ISO 42001: A.4.2 (Resource documentation)
ISO 42001: A.4.3 (Data resources)
ISO 42001: A.4.4 (Tooling resources)
ISO 27001 A.5.30 (ICT readiness for business continuity)",No Gap,,"GV-1.5-002
MG-2.3-001",Partial Gap,Expand MG-2.3-001 or add an additional action that specifically requires disaster response planning that includes natural and other man-made disasters in incident response and recovery plans. This action should explicitly require a periodic review and update cycle to account for changes in risk exposure and ensure readiness for diverse disaster scenarios.
Business Continuity Management and Operational Resilience,Response Plan Exercise,BCR-10,"Exercise the disaster response plan annually or upon significant
changes, including, if possible, participation of local emergency authorities.","C4 RE-06
C5 BCM-04",No Gap,,"Article 9 (2)
Article 9 (6)
Article 15 (1)
Article 17 (1) (d)
Article 93",Partial Gap,"Exercise the disaster response plan annually or upon significant changes, including, if possible, local emergency authorities.","ISO 42001: A.10.2 (Allocating responsibilities)
ISO 27001: A.5.30 (ICT readiness for business continuity)
ISO 27001: A.5.5 (Contact with authorities)",No Gap,,No Mapping,Full Gap,Insert a new suggested action to require that the disaster response plan be exercised at least annually (or upon significant changes) and that such exercises include coordination with local emergency services and other critical stakeholders.
Business Continuity Management and Operational Resilience,Equipment Redundancy,BCR-11,Supplement business-critical equipment with both locally redundant and geographically dispersed equipment located at a reasonable minimum distance in accordance with applicable industry standards.,"PS-02
PS-06
OPS-09",No Gap,,"Article 15 (4) (accuracy, robustness, and cybersecurity)",Partial Gap,Independently located at a reasonable minimum distance in accordance with applicable industry standards.,"No ISO 42001 mapping.
27001: A.8.14 (Redundancy of information processing facilities)",Partial Gap,"There is no control in ISO 42001 that covers AICM BCR-11 topic of business-critical equipment to be reasonably at a minimum distance for redundancy. However, it is fully covered by ISO 27001: A.8.14 Redundancy of information processing facilities, where processing facility shall implement that which makes them redundant to include minimum distance of critical systems.",No Mapping,Full Gap,The entire requirement BCR-11: Establish requirements for the redundancy of business-critical equipment by ensuring that redundant assets are independently located in accordance with industry standards or cross reference related NIST publications (such as SP 800-53) that cover physical resiliency.
Change Control and Configuration Management - CCC,,,,,,,,,,,,,,,
